NomSubEstacao,NumCoordESub,NumCoordNSub
,,
TOLEDO,-5376,-2474
CAXIAS DO SUL 5,-5119,-2913
CANOAS 1 - CEEE,-5119,-2995
OURO PRETO 1,-4351,-2039
PATAMARES,-3839,-1294
ESTEIO,-5118,-2984
PARANAIBA,-5118,-1970
SERRA DE CALDAS,-4862,-1780
SAO GOTARDO 1,-4606,-1932
INDAIA,-3838,-408
SUBESTA�ÃO RINCÃO,-5117,-3011
FLORES DA CUNHA,-5117,-2904
PALERMO,-5117,-2330
SUBESTA�ÃO PORTO ALEGRE 12,-5117,-3004
BALSAS,-4605,-751
CONCORDIA,-5372,-2474
CAXIAS DO SUL 7,-5116,-2920
CAXIAS DO SUL 2,-5116,-2914
CAXIAS DO SUL 3,-5116,-2917
BARRETOS 1,-4860,-2052
BRASILANDIA 2,-4604,-1707
SETD COMENDADOR SOARES,-4348,-2276
SAO CRISTOVAO,-3836,-1292
CATU - CHESF,-3836,-1240
SANTO ANTONIO DO SUDOESTE,-5371,-2608
NOVO HAMBURGO - SCHARLAU CEEE,-5115,-2972
SUBESTA�ÃO PORTO ALEGRE 14,-5115,-3016
FLP01,-5115,-2162
ROLAND DAVIDS,-5115,-2332
ESTÂNCIA VELHA,-5115,-2965
SAO GONCALO DO ABAETE 1,-4603,-1839
SETD ARI FRANCO,-4347,-2286
SETD RECREIO,-4347,-2301
JANAUBA 2,-4347,-1570
SETD ROCHA FREIRE,-4347,-2269
BUR01,-4858,-2380
SETD CARMARI,-4346,-2272
PRAIA BELA,-3834,-394
SAPUCAIA DO SUL 1,-5113,-2981
SETD NOVA IGUACU,-4345,-2276
ITINGA,-3833,-1290
SE VILA RICA 138 KV,-5112,-1003
NOVA PETRÓPOLIS,-5112,-2938
TUCUMÃ,-5112,-675
SAO MANUEL 1,-4856,-2274
BONFINOPOLIS DE MINAS,-4600,-1656
LAURO DE FREITAS,-3832,-1288
SE RIO MADEIRA,-6391,-872
SÃO LEOPOLDO 1 - PINHEIROS,-5111,-2976
CAXIAS DO SUL 4,-5111,-2912
SETD ITAPEBA,-4343,-2300
CAMACARI  III,-3831,-1272
SE CENTRO,-6390,-878
PIUMHI 2,-4598,-2049
SETD MENA BARRETO,-4342,-2280
BENEDITO BENTES,-3574,-956
SE AREAL,-6389,-878
JULIO DE CASTILHOS 2,-5365,-2924
CACHOEIRINHA 1,-5109,-2991
SUBESTA�ÃO VIAMÃO 2,-5109,-3005
NOVO HAMBURGO 3 - CANUDOS,-5109,-2968
VIANOPOLIS,-4853,-1675
BAMBUI,-4597,-2002
PATAGONIA,-4085,-1490
SERRA TALHADA,-3829,-798
SE ALFAVILE,-6388,-873
SE TREVO DO LAGARTO 138 KV,-5620,-1565
FORMIGUEIRO,-5364,-3009
CACHOEIRINHA 2,-5108,-2993
COLINA 1,-4852,-2071
TAQUARITINGA 3 ESPERANCA,-4852,-2141
JUIZ DE FORA 1,-4340,-2171
SETD AREIA BRANCA,-4340,-2275
CAMPO BOM 1 - CEEE,-5107,-2969
ALFENAS 1,-4595,-2145
JUIZ DE FORA 8,-4339,-2177
SETD PAVUNA,-4339,-2282
SETD COELHO DA ROCHA,-4339,-2277
VITORIA DA CONQUISTA,-4083,-1483
CRUZ ALTA 1,-5362,-2861
SÃO MARCOS,-5106,-2898
GRAVATAÍ 2,-5106,-2988
SE COLINAS,-4850,-805
RODA VELHA,-4594,-1275
SETD GARDENIA,-4338,-2297
SUBESTA�ÃO VIAMÃO 1,-5105,-3008
MIRAMAR,-4849,-141
NIQUELANDIA SUBTRANSMISSAO,-4849,-1447
SETD ROSALI,-4337,-2279
SETD GUADALUPE,-4337,-2284
USINA PETI,-4337,-1988
SE IPIRANGA DO NORTE 138 KV,-5616,-1224
ICOARACI,-4848,-133
POUSO ALEGRE,-4592,-2221
MASSANGANO II,-4080,-937
MOXOTO - CHESF,-3824,-938
SE TIRADENTES,-6383,-875
QUARAÍ 2 - HARMONIA,-5615,-3006
CREMA�ÃO,-4847,-146
SHOPPING  GRÃO PARÁ,-4847,-139
GRÃO PARA,-4847,-139
MACHADO 2,-4591,-2170
CAXIAS,-4335,-487
SETD VILAR DOS TELES,-4335,-2274
JUIZ DE FORA 2,-4335,-2175
SETD TURIACU,-4335,-2286
SE PORTO VELHO ELN,-6382,-880
MOSQUEIRO,-4846,-114
POUSO ALEGRE 2,-4590,-2229
SETD COLEGIO,-4334,-2284
NOVA PETROLANDIA,-3822,-897
SE VARZEA GRANDE 138 KV,-5613,-1567
SE CIDADE ALTA 138 KV,-5613,-1559
SE BEIRA RIO 138 KV,-5613,-1561
GUARITA,-5357,-2761
PID,-5101,-2056
SAPIRANGA,-5101,-2965
BENGUI,-4845,-137
AUGUSTO MONTENEGRO,-4845,-134
GUAMÁ,-4845,-146
São José,-4333,-2275
SETD CASCADURA,-4333,-2288
JUIZ DE FORA 4,-4333,-2178
SETD SÃO JOÃO,-4333,-2276
SETD MERITI,-4333,-2280
SETD BARRA,-4333,-2300
CRISTAL-CLIENTE,-3821,-1280
MODELO REDUZIDO - CHESF,-3821,-939
SE BURITIS,-6380,-1023
GRAVATAÍ 1,-5100,-2995
CURIO,-4844,-141
SETD VIGARIO GERAL,-4332,-2281
SETD SARAPUI,-4332,-2272
SETD BARRA 2,-4332,-2300
AREMBEPE,-3820,-1278
ENT. AREMBEPE,-3820,-1278
CENTRO INDUSTRIAL DO CERRADO,-4587,-1210
SETD CAXIAS,-4331,-2277
SETD WASHINGTON LUIS,-4331,-2279
SETD AGUA GRANDE,-4331,-2283
SEMARH CANAL DO SERTÃO,-3819,-934
SE ALTA FLORESTA 138 KV,-5610,-989
SE CRISTO REI 138 KV,-5610,-1563
COQUEIRO,-4842,-138
SETD ELDORADO,-4330,-2265
USINA DE MARMELOS,-4330,-2179
SETD MATURACA,-4330,-2284
JANAUBA 1,-4330,-1582
CABRIUVA (RIO VERDE),-5097,-1782
DER. CENTRO INDUST DO CERRADO,-4585,-1210
Santa Cruz da Serra,-4329,-2264
SE BARRO DURO 138 KV,-5608,-1559
SE NOVA MUTUM 138 KV,-5608,-1383
REALEZA,-5352,-2578
SE PORTO NACIONAL,-4840,-1069
SETD BRAS DE PINA,-4328,-2283
SETD INMETRO,-4328,-2259
Campos Eliseos,-4328,-2270
ANANINDEUA,-4839,-137
BOA ESPERANCA DO SUL 1,-4839,-2199
SETD TERRA NOVA,-4327,-2287
TACARATU,-3815,-910
UTINGA,-4838,-134
SETD DEMOCRATICOS,-4326,-2288
SETD LEOPOLDO,-4326,-2293
SETD PEDRO ERNESTO,-4326,-2285
GRAVATA,-3558,-820
SE PIMENTA BUENO,-6117,-1170
SETD RAMOS,-4325,-2286
ALEGRETE 3 - MARIANO PINTO,-5604,-2938
OLIMPICO,-5348,-2496
SE PALMAS IV,-4836,-1018
SETD FUNDAO,-4324,-2284
SETD ALDEIA CAMPISTA,-4324,-2292
VACARIA,-5091,-2849
RIO VERDE,-5091,-1780
SETD TRES RIOS,-4323,-2212
SÃO BORJA 1 - JARDIM DA PAZ,-5602,-2867
UBERLANDIA 1,-4834,-1891
JABOTICABAL 1,-4834,-2127
UBERLANDIA 9,-4834,-1897
CBO01,-4834,-2399
MARITUBA,-4834,-136
RIO DAS PEDRAS,-4578,-1209
SETD RIO COMPRIDO,-4322,-2293
SETD LEBLON,-4322,-2298
GRAVATA II,-3554,-820
PINHEIROS,-5345,-2493
SE PALMAS III,-4833,-1026
PARAISOPOLIS,-4577,-2256
Nova Parada Angelica,-4321,-2262
Parada Angelica,-4321,-2262
ENTRE RIOS,-3809,-1195
CARACARAI,-6112,182
SE DISTRITO CUIABA 138 KV,-5600,-1566
SÃO BORJA 2 - CEEE,-5600,-2869
SUBESTA�ÃO ÁGUAS CLARAS,-5088,-3017
CAMPOS GERAIS,-4576,-2124
ITABIRA 3,-4320,-1968
