NumCNPJDistribuidora,SigAgente,NomAgente
60444437000146,LIGHT,LIGHT SERVIÇOS DE ELETRICIDADE S A
95824322000161,COOPERLUZ,COOPERLUZ - COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE
2328280000197,ELEKTRO,ELEKTRO REDES S.A.
4065033000170,ELETROACRE,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A
55188502000180,CERVAM,COOPERATIVA DE ENERGIZA�ÃO E DE DESENVOLVIMENTO DO VALE DO MOGI
76583962000182,CERTREL,COOPERATIVA DE ENERGIA TREVISO
,,
5938444000196,CERR,Companhia Energética de Roraima
97081434000103,CERMISSÕES,COOPERATIVA DE DISTRIBUI�ÃO E GERA�ÃO DE ENERGIA DAS MISSÕES - CERMISSÕES
83647990000181,COOPERALIANÇA,COOPERATIVA ALIANÇA
91950261000128,CRELUZ-D,CRELUZ - COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA
86533346000170,CERMOFUL,COOPERATIVA FUMACENSE DE ELETRICIDADE - CERMOFUL ENERGIA
11615872000180,CERSAD DISTRIBUIDORA,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA SALTO DONNER
5914650000166,CERON,ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A
2016440000162,RGE SUL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.
85318640000105,CERPALO,COOPERATIVA DE ELETRICIDADE DE PAULO LOPES
86439510000185,CERGAL,COOPERATIVA DE ELETRIFICA�ÃO ANITA GARIBALDI
89889604000144,UHENPAL,NOVA PALMA ENERGIA LTDA
9095183000140,EPB,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A
60196987000193,CEDRAP,COOPERATIVA DE ELETRIFICA�ÃO DA REGIÃO DO ALTO PARAÍBA
1229747000189,CERGAPA,COOPERATIVA DE ELETRICIDADE GRÃO PARÁ
85665990000130,CEJAMA,CEJAMA - COOPERATIVA DE ELETRICIDADE JACINTO MACHADO
13017462000163,ESE,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A
61116265000144,CPFL Santa Cruz,COMPANHIA LUZ E FORÇA SANTA CRUZ
52548732000114,CERMC,Cooperativa de Eletrifica�ão Rural de Mogi das Cruzes
86433042000131,CERBRANORTE,COOPERATIVA DE ELETRIFICA�ÃO DE BRAÇO DO NORTE
2016439000138,RGE,RIO GRANDE ENERGIA SA
50235449000107,CERIM,COOPERATIVA DE ELETRIFICAO E DESENVOLVIMENTO DA REGIAO DE ITU MAIRINQUE
52503802000118,CPFL Mococa,COMPANHIA LUZ E FORÇA DE MOCOCA
33050196000188,CPFL-PAULISTA,COMPANHIA PAULISTA DE FORÇA E LUZ
19527639000158,EMG,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.
4368898000106,COPEL-DIS,COPEL DISTRIBUI�ÃO S.A.
95289500000100,DEMEI,Departamento Municipal de Energia de Ijuí
86531175000140,EFLUL,EMPRESA FORÇA E LUZ DE URUSSANGA LTDA
31465487000101,CERES,COOPERATIVA DE ELETRIFICA�ÃO RURAL DE RESENDE LTDA
7282377000120,ESS,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.
3467321000199,EMT,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.
83855973000130,DCELT,DCELT - DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA LTDA
86532348000145,COOPERCOCAL,COOPERATIVA ENERGÉTICA COCAL
9257558000121,CERTEL ENERGIA,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA TEUTÔNIA
86444163000189,CEGERO,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO
86512670000102,CERSUL,CERSUL - COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA
60855608000120,CPFL Sul Paulista,Companhia Sul Paulista de Energia
75568154000183,COOPERMILA,COOPERATIVA DE ELETRIFICA�ÃO LAURO MULLER
87462750000163,COOPERSUL,COOPERATIVA REGIONAL DE ELETRIFICA�ÃO RURAL FRONTEIRA SUL LTDA
61015582000174,CPFL Leste Paulista,COMPANHIA LESTE PAULISTA DE ENERGIA
49313653000110,CETRIL,COOPERATIVA DE ELETRIFICA�ÃO DE IBIÚNA E REGIÃO
79850574000109,FORCEL,FORÇA E LUZ CORONEL VIVIDA LTDA
49606312000132,CERIPA,COOPERATIVA DE ELETRIFICA�ÃO RURAL DE ITAÍ PARANAPANEMA AVARÉ LTDA
