CodMunicipioIbge,NomMunicipio
,
2605301,Exu
2305803,Ipu
3523909,Itu
3138807,Luz
2932507,Una
3555901,Uru
2401206,Arez
2400208,Açu
3508009,Buri
2907509,Catu
2304251,Cruz
2505907,Emas
4205191,Ermo
3125200,Fama
1503002,Faro
3129301,Iapu
2606507,Iati
2913309,Ichu
2305407,Icó
4310439,Ipê
4208005,Itá
3524501,Jaci
2405405,Japi
4311130,Jari
1100114,Jaru
2307205,Jati
3525300,Jaú
2608305,Jupi
2508000,Juru
5005152,Juti
2918803,Laje
4113205,Lapa
3526704,Leme
3527108,Lins
2509107,Mari
4312104,Mata
1504703,Moju
4211801,Ouro
2409308,Patu
3150109,Piau
1717503,Pium
3539806,Poá
3169901,Ubá
5108501,Vera
2400109,Acari
1500305,Afuá
4300109,Agudo
1700400,Almas
2200400,Altos
4101051,Anahy
1500859,Anapu
1300102,Anori
2901601,Antas
2401008,Apodi
1300144,Apuí
2902104,Araci
2100956,Arame
2500908,Arara
2101004,Arari
3104205,Arcos
3300225,Areal
2501104,Areia
3504008,Assis
3504305,Avaí
1501105,Bagre
4301602,Bagé
2902708,Barra
2302008,Barro
3506003,Bauru
3106705,Betim
3106903,Bicas
3506409,Bilac
2401651,Bodó
1300805,Borba
3507209,Borá
4302600,Braga
2102101,Brejo
3109253,Bugre
4203105,Caibi
2905404,Cairu
3509957,Canas
2504033,Capim
3301207,Carmo
4304903,Casca
5204300,Caçu
2905107,Caém
2604304,Cedro
2303808,Cedro
5205406,Ceres
4305439,Chuí
2907905,Cipó
1301209,Coari
2202703,Cocal
2908101,Cocos
2103307,Codó
2908606,Conde
2504603,Conde
2504702,Congo
3513009,Cotia
5003306,Coxim
2304202,Crato
2801900,Cumbe
3513603,Cunha
3121001,Datas
3121258,Delta
5207535,Faina
4107553,Farol
4308102,Feliz
2911204,Gandu
3519204,Iacri
3519253,Iaras
2911907,Iaçu
4109757,Ibema
4206751,Ibiam
3129509,Ibiá
2105104,Icatu
3519808,Icém
3519907,Iepê
2703106,Igaci
3130408,Ijaci
4310207,Ijuí
4310330,Imbé
2506806,Ingá
3131158,Ipaba
4207601,Ipira
2607307,Ipubi
3521309,Ipuã
4207809,Irani
4110706,Irati
4207858,Irati
4310504,Iraí
3202652,Irupi
2803104,Itabi
2915106,Itagi
3522000,Itaju
4310652,Itati
3521804,Itaí
2404903,Itaú
3523800,Itobi
2917334,Iuiú
4111407,Ivaí
4310801,Ivoti
3203007,Iúna
3524808,Jales
5105002,Jauru
5105101,Juara
4311155,Jóia
4209300,Lages
2508109,Lagoa
2406700,Lajes
3137908,Lamim
2407203,Macau
4210100,Mafra
3528304,Magda
3302502,Magé
2920106,Mairi
2508802,Malta
3139300,Manga
